call_id,policy,severity,on_time
394,B,Low,1
395,B,Low,1
396,B,Low,1
397,B,Low,1
398,B,Low,0
399,B,Low,0
400,B,Low,0
401,B,High,1
402,B,High,1
403,B,High,1
404,B,High,1
405,B,High,1
406,B,High,1
407,B,High,1
408,B,High,1
409,B,High,1
410,B,High,1
411,B,High,1
412,B,High,1
413,B,High,1
414,B,High,1
415,B,High,1
416,B,High,1
417,B,High,1
418,B,High,1
419,B,High,1
420,B,High,1
421,B,High,1
422,B,High,1
423,B,High,1
424,B,High,1
425,B,High,1
426,B,High,1
427,B,High,1
428,B,High,1
429,B,High,1
430,B,High,1
431,B,High,1
432,B,High,1
433,B,High,1
434,B,High,1
435,B,High,1
436,B,High,1
437,B,High,1
438,B,High,1
439,B,High,1
440,B,High,1
441,B,High,1
442,B,High,1
443,B,High,1
444,B,High,1
445,B,High,1
446,B,High,1
447,B,High,1
448,B,High,1
449,B,High,1
450,B,High,1
451,B,High,1
452,B,High,1
453,B,High,1
454,B,High,1
455,B,High,1
456,B,High,1
457,B,High,1
458,B,High,1
459,B,High,1
460,B,High,1
461,B,High,1
462,B,High,1
463,B,High,1
464,B,High,1
465,B,High,1
466,B,High,1
467,B,High,1
468,B,High,1
469,B,High,1
470,B,High,1
471,B,High,1
472,B,High,1
473,B,High,1
474,B,High,1
475,B,High,1
476,B,High,1
477,B,High,1
478,B,High,1
479,B,High,1
480,B,High,1
481,B,High,1
482,B,High,1
483,B,High,1
484,B,High,1
485,B,High,1
486,B,High,1
487,B,High,1
488,B,High,1
489,B,High,1
490,B,High,1
491,B,High,1
492,B,High,1
493,B,High,1
494,B,High,1
495,B,High,1
496,B,High,1
497,B,High,1
498,B,High,1
499,B,High,1
500,B,High,1
501,B,High,1
502,B,High,1
503,B,High,1
504,B,High,1
505,B,High,1
506,B,High,1
507,B,High,1
508,B,High,1
509,B,High,1
510,B,High,1
511,B,High,1
512,B,High,1
513,B,High,1
514,B,High,1
515,B,High,1
516,B,High,1
517,B,High,1
518,B,High,1
519,B,High,1
520,B,High,1
521,B,High,1
522,B,High,1
523,B,High,1
524,B,High,1
525,B,High,1
526,B,High,1
527,B,High,1
528,B,High,1
529,B,High,1
530,B,High,1
531,B,High,1
532,B,High,1
533,B,High,1
534,B,High,1
535,B,High,1
536,B,High,0
537,B,High,0
538,B,High,0
539,B,High,0
540,B,High,0
541,B,High,0
542,B,High,0
543,B,High,0
544,B,High,0
545,B,High,0
546,B,High,0
547,B,High,0
548,B,High,0
549,B,High,0
550,B,High,0
551,B,High,0
552,B,High,0
553,B,High,0
554,B,High,0
555,B,High,0
556,B,High,0
557,B,High,0
558,B,High,0
559,B,High,0
560,B,High,0
561,B,High,0
562,B,High,0
563,B,High,0
564,B,High,0
565,B,High,0
566,B,High,0
567,B,High,0
568,B,High,0
569,B,High,0
570,B,High,0
571,B,High,0
572,B,High,0
573,B,High,0
574,B,High,0
575,B,High,0
576,B,High,0
577,B,High,0
578,B,High,0
579,B,High,0
580,B,High,0
581,B,High,0
582,B,High,0
583,B,High,0
584,B,High,0
585,B,High,0
586,B,High,0
587,B,High,0
588,B,High,0
589,B,High,0
590,B,High,0
591,B,High,0
592,B,High,0
593,B,High,0
594,B,High,0
595,B,High,0
596,B,High,0
597,B,High,0
598,B,High,0
599,B,High,0
600,B,High,0
601,B,High,0
602,B,High,0
603,B,High,0
604,B,High,0
605,B,High,0
606,B,High,0
607,B,High,0
608,B,High,0
609,B,High,0
610,B,High,0
611,B,High,0
612,B,High,0
613,B,High,0
614,B,High,0
615,B,High,0
616,B,High,0
617,B,High,0
618,B,High,0
619,B,High,0
620,B,High,0
621,B,High,0
622,B,High,0
623,B,High,0
624,B,High,0
625,B,High,0
626,B,High,0
627,B,High,0
628,B,High,0
629,B,High,0
630,B,High,0
631,B,High,0
632,B,High,0
633,B,High,0
634,B,High,0
635,B,High,0
636,B,High,0
637,B,High,0
638,B,High,0
639,B,High,0
640,B,High,0
641,B,High,0
642,B,High,0
643,B,High,0
644,B,High,0
645,B,High,0
646,B,High,0
647,B,High,0
648,B,High,0
649,B,High,0
650,B,High,0
651,B,High,0
652,B,High,0
653,B,High,0
654,B,High,0
655,B,High,0
656,B,High,0
657,B,High,0
658,B,High,0
659,B,High,0
660,B,High,0
661,B,High,0
662,B,High,0
663,B,High,0
664,B,High,0
665,B,High,0
666,B,High,0
667,B,High,0
668,B,High,0
669,B,High,0
670,B,High,0
671,B,High,0
672,B,High,0
673,B,High,0
674,B,High,0
675,B,High,0
676,B,High,0
677,B,High,0
678,B,High,0
679,B,High,0
680,B,High,0
681,B,High,0
682,B,High,0
683,B,High,0
684,B,High,0
685,B,High,0
686,B,High,0
687,B,High,0
688,B,High,0
689,B,High,0
690,B,High,0
691,B,High,0
692,B,High,0
693,B,High,0
694,B,High,0
695,B,High,0
696,B,High,0
697,B,High,0
698,B,High,0
699,B,High,0
700,B,High,0
